claim_id,claim_date,claim_amount,claim_type,policy_id,description
5001,2024-01-01 00:00,4358,liability,1116,Injury due to slippery floor
5002,2024-01-01 01:00,5073,collision,1996,Water leak from roof
5003,2024-01-01 02:00,173,theft,1890,Water leak from roof
5004,2024-01-01 03:00,1128,flood,1435,Minor collision on street
5005,2024-01-01 04:00,6936,fire,1700,Basement flooded after storm
5006,2024-01-01 05:00,10770,collision,1734,Stolen bike reported
5007,2024-01-01 06:00,2200,fire,1231,Minor collision on street
5008,2024-01-01 07:00,13444,collision,1351,Stolen bike reported
5009,2024-01-01 08:00,7670,flood,1543,Car vandalism report
5010,2024-01-01 09:00,1263,collision,1208,Water leak from roof
5011,2024-01-01 10:00,4847,fire,1873,Stolen bike reported
5012,2024-01-01 11:00,2604,liability,1132,Water leak from roof
5013,2024-01-01 12:00,1204,fire,1672,Stolen bike reported
5014,2024-01-01 13:00,9239,collision,1811,Minor collision on street
5015,2024-01-01 14:00,20197,collision,1874,Fire damage in kitchen
5016,2024-01-01 15:00,1586,collision,1740,Water leak from roof
5017,2024-01-01 16:00,523,flood,1100,Basement flooded after storm
5018,2024-01-01 17:00,5551,flood,1604,Car vandalism report
5019,2024-01-01 18:00,7833,flood,1574,Fire damage in kitchen
5020,2024-01-01 19:00,1939,flood,1938,Water leak from roof
5021,2024-01-01 20:00,6936,flood,1874,Basement flooded after storm
5022,2024-01-01 21:00,4377,flood,1804,Water leak from roof
5023,2024-01-01 22:00,298,collision,1476,Water leak from roof
5024,2024-01-01 23:00,890,liability,1365,Injury due to slippery floor
5025,2024-01-02 00:00,1241,fire,1143,Water leak from roof
5026,2024-01-02 01:00,31022,fire,1164,Injury due to slippery floor
5027,2024-01-02 02:00,4412,theft,1882,Water leak from roof
5028,2024-01-02 03:00,5187,fire,1610,Minor collision on street
5029,2024-01-02 04:00,7964,flood,1255,Stolen bike reported
5030,2024-01-02 05:00,4684,liability,1390,Electrical fire in bedroom
5031,2024-01-02 06:00,14661,theft,1034,Stolen bike reported
5032,2024-01-02 07:00,9899,theft,1961,Electrical fire in bedroom
5033,2024-01-02 08:00,3095,theft,1764,Car vandalism report
5034,2024-01-02 09:00,2651,theft,1953,Minor collision on street
5035,2024-01-02 10:00,18329,flood,1576,Fire damage in kitchen
5036,2024-01-02 11:00,2526,collision,1870,Basement flooded after storm
5037,2024-01-02 12:00,12019,fire,1195,Stolen bike reported
5038,2024-01-02 13:00,10641,flood,1376,Water leak from roof
5039,2024-01-02 14:00,4635,flood,1797,Stolen bike reported
5040,2024-01-02 15:00,15342,collision,1301,Minor collision on street
5041,2024-01-02 16:00,613,theft,1853,Electrical fire in bedroom
5042,2024-01-02 17:00,651,collision,1761,Basement flooded after storm
5043,2024-01-02 18:00,7254,theft,1902,Water leak from roof
5044,2024-01-02 19:00,13269,liability,1725,Stolen bike reported
5045,2024-01-02 20:00,1042,theft,1485,Electrical fire in bedroom
5046,2024-01-02 21:00,1934,theft,1366,Injury due to slippery floor
5047,2024-01-02 22:00,6697,liability,1275,Car vandalism report
5048,2024-01-02 23:00,1076,fire,1402,Car vandalism report
5049,2024-01-03 00:00,7251,flood,1106,Injury due to slippery floor
5050,2024-01-03 01:00,4012,collision,1837,Basement flooded after storm
5051,2024-01-03 02:00,6849,theft,1903,Car vandalism report
5052,2024-01-03 03:00,4423,flood,1846,Water leak from roof
5053,2024-01-03 04:00,266,collision,1412,Stolen bike reported
5054,2024-01-03 05:00,1521,fire,1838,Basement flooded after storm
5055,2024-01-03 06:00,5136,fire,1817,Water leak from roof
5056,2024-01-03 07:00,769,fire,1144,Injury due to slippery floor
5057,2024-01-03 08:00,4160,liability,1082,Car vandalism report
5058,2024-01-03 09:00,891,flood,1125,Injury due to slippery floor
5059,2024-01-03 10:00,325,collision,1074,Fire damage in kitchen
